Word	Prefix	Root 	Suffix 
ለእንደዚህ			
ለእጅ			
ለኦን			
ለከፍተኛ			
ለኩባንያው			
ለኪነጥበብ			
ለካናዳ			
ለካይኔቲክ			
ለኬሚካል			
ለኮቪድ			
ለወረርሽኙ			
ለወርቅ			
ለወሰድበት			
ለወሲባዊ			
ለወባ			
ለወታደሮቹ			
ለወንዶች			
ለወደፊት			
ለወጣቶች			
ለዊክ			
ለዋልታ			
ለውሃ			
ለውርጃ			
ለውይይት			
ለውጥ			
ለውጥና			
ለውጥን			
ለውጥ፣			
ለውጦች			
ለውጦችን			
ለውጭ			
ለውጭም			
ለዓለም			
ለዓመታት			
ለዓሳ			
ለዕይታ			
ለዘመናዊነት			
ለዘርፉ			
ለዚሁ			
ለዚህ			
ለዚህም፣			
ለዩናይትድ			
ለዩጋንዳ			
ለያዙ			
ለይተውታል።			
ለይታ			
ለይታለች			
ለይቶ			
ለይቷል።			
ለይቷችዋል።			
ለደም			
ለደረሰበት			
ለደረሰው			
ለደረጃ			
ለደቡብ			
ለደንበኞቻችን			
ለደንጌ			
ለዲመፕሎማሲያው			
ለዴሞክራሲ			
ለድህረ			
ለድሆች			
ለድንገተኛ			
ለጀማሪዎች			
ለጁሊየን			
ለጄራርድ			
ለገበያ			
ለገቢሳ			
ለገና			
ለገንዘብ			
ለጉብኝት			
ለጉዳት			
ለጋዜጠኞች			
ለግሉ			
ለግብርና			
ለግዛቷ			
ለጎረቤት			
ለጎርፍ			
ለጎብኚዎች			
ለጎን			
ለጠቅላይ			
ለጡት			
ለጤና			
ለጤን			
ለጳጳስነት			
ለጽህፈት			
ለፀሀይ			
ለፀሃይ			
ለፀረ			
ለፊት			
ለፋሲል			
ለፋና			
ለፌስቡክ			
ለፍልስጤማውያን			
ለፍርድ			
ለፍትህ			
ለፍፃሜ			
ለፎረሙ			
ለፓርላማ			
ለፕሬዝዳንቱ			
ለፖሊስ			
ለፖምፔዮ			
ሉሁሉም			
ሉሃንስክ			
ሉስሬት			
ሉተር			
ሉቺያኖ			
ሉአላዊነቴን			
ሉአንግ			
ሉዊስ			
ሉዊዚያና			
ሉዊዝ			
ሉዓላዊነት			
ሉፐስ			
ሊሆኑ			
ሊሆን			
ሊመራ			
ሊመሰርት			
ሊሚትድ			
ሊሰራ			
ሊሰጡ			
ሊሰጥ			
ሊሳተፍ			
ሊቀመንበሩ			
ሊቀመንበር			
ሊቀንስና			
ሊቀዘቅዝ			
ሊቀጥል			
ሊቃነ			
ሊበራል			
ሊቢያ			
ሊባኖስ			
ሊብሬሽን			
ሊቨር			
ሊቪን			
ሊተለለፍባት			
ሊተላለፍባቸው			
ሊታረቁ			
ሊታደሙ			
ሊታደግ			
ሊታገሉት			
ሊትር			
ሊኖሩን			
ሊኖራት			
ሊኖር			
ሊኖርባቸው			
ሊኖሯት			
ሊከላከሉ			
ሊከላከል			
ሊከሰት			
ሊከታተል			
ሊከፍት			
ሊካሄድ			
ሊወጡ			
ሊውሉ			
ሊዘጉ			
ሊያረጋት			
ሊያስከትል			
ሊያበሳጭ			
ሊያከብረው			
ሊያዎኒንግ			
ሊያደርጉ			
ሊያጋልጥ			
ሊዮኔል			
ሊዮን			
ሊዮፖልድ			
ሊደረጉ			
ሊደረግ			
ሊደረግላቸው			
ሊደርስ			
ሊዳርግ			
ሊጀመር			
ሊጀምር			
ሊገኝ			
ሊግባቡ			
ሊጎዳ			
ሊጠቀም			
ሊጠፋ			
ሊጥለቀለቅ			
ሊጨምር			
ሊፈነዱ			
ሊፈጠር			
ሊፈፅም			
ላለመሳተፍ			
ላለመውለድ			
ላለች			
ላለው			
ላለፉት			
ላሉት			
ላላት			
ላላቸው			
ላልሆኑ			
ላልተዳረሰባቸው			
ላልታወቀ			
ላሚን			
ላምብ			
ላምፑር			
ላረገውና			
ላሳዩት			
ላሴተርን			
ላቀው			
ላበረከቱት			
ላብስ			
ላቦራቶሪ			
ላተነሳ።			
ላቲኖ			
ላትቪያ			
ላንካ			
ላንድ			
ላከ።			
ላውረንስ			
ላውረንት			
ላውራ			
ላይሆኑ			
ላይም			
ላይቤሪያ			
ላይቭ			
ላይቲንግ			
ላይን			
ላይ።			
ላደረሰው			
ላደረገው			
ላደረጉት			
ላገኘው			
ላጋርዴ			
ላጎመራ			
ላፋረግ			
ላፋይቴ፣			
ላፍቶ			
ሌሊሳ			
ሌሊሴ			
ሌላው			
ሌሎች			
ሌሎችም			
ሌሎችን			
ሌሎችንም			
ሌሲግ			
ሌስሊ			
ሌሽማን			
ሌባኖን			
ሌብል			
ሌቫነት			
ሌንሳ			
ሌከርሱ			
ሌዊድን			
ሌዘር			
ሌዝቢያን			
ሌጊኔር			
ሌጊኦኔይር			
ሌጋሲ			
ሌጎስ			
ልህቀት			
ልመና			
ልማት			
ልማትና			
ልማት፣			
ልማቶችን			
ልምምድ			
ልምምዶቹን			
ልምምዶች			
ልምምዶችን			
ልምዱ			
ልምድ			
ልምድን			
ልምዶችን			
ልቀት			
ልቀትን			
ልቀቶች			
ልብስ			
ልብሶችን			
ልቦና፣			
ልታሰማራ			
ልታስቀምጥ			
ልታስገባ			
ልትገድብ			
ልኡል			
ልኡክ			
ልኳል።			
ልውውጥ			
ልውውጥን			
ልውውጦች			
ልዑል			
ልዑካን			
ልዕለ			
ልየነቶች			
ልዩነታቸውን			
ልደቱን			
ልደት			
ልደትን			
ልጃቸው			
ልጃቸውን			
ልጃገረዶች			
ልጃገረዶችየወር			
ልጅ፤			
ልጆች			
ልጆችን			
ልጇን			
ልገሳ			
ሎችም			
ሎችቴ			
ሎጂስቲክስ			
ሎጅስቲክስ			
ሎግህነር			
ሐሙስ			
ሐምሌ			
ሐውልት			
ሓርነት			
ሕሙማን			
ሕብረት			
ሕንድ			
ሕንጻዎች			
ሕንፃ			
ሕክምና			
ሕዝቡን			
ሕዝባዊ			
ሕዝብ			
ሕዝቦች			
ሕይወታቸው			
ሕይወታችንን			
ሕይወት			
ሕገወጥ			
ሕጋዊ			
ሕግን			
ሕፃናት			
ሕፃናትን			
ሕፃን			
መሀመድ			
መሃላ			
መሃላቸውን			
መሃል			
መሃመድ			
መሄድ			
መሆኑ			
መሆኑም			
መሆኑን			
መሆኑንም			
መሆኑንና			
መሆናቸው			
መሆናቸውን			
መሆን			
መሆኗ			
መሆኗን			
መሆኗንም			
መለሰ።			
መለስ			
መለየት			
መለያ			
መሊንዳ			
መላክ			
መልስ			
መልሶ			
መልቀቁን			
መልቀቂያ			
መልቀቃቸውን			
መልቀቅ			
መልቲሚዲያ			
መልቲቾይስ			
መልእክተ			
መልእክተኛ			
መልእክት			
መልእክቶችን			
መልኩ			
መልኪ			
መልካም			
መልክ			
መልክትን			
መልዕክታቸውን			
መልዕክት			
መልዕክቶች			
መሐመድ			
መሐመድን፣			
መሐንዲስ			
መሐንዲሶች			
መሐንዲሶችን			
መመለስ			
መመልከቻ			
መመረቁ			
መመረዝ			
መመረጡን			
መመረጥ			
መመሪያ			
መመሪያዎችን			
መመሪያዎች፣			
መመራመሪያ			
መመርመሪያ			
መመርመሪያዎቹ			
መመርመር			
መመስረት			
መመዝገቡን			
መመዝገብ			
መመዝገብ፣			
መመደቡን			
መሚደረገው			
መማር			
መማክርት			
መምህራን			
መምህራንነት			
መምህራንን			
መምህር			
መምህር፣			
መምረጥ			
መምሪያ			
መምራት			
መምጣቱን			
መምጣት			
መሞታቸው			
መሞታቸውን			
መሞቷን			
መሞከሩ			
መሞከሪያ			
መሞከር			
መሠረተ			
መሠረቱን			
መሠረታዊ			
መሠረት			
መሠራቱን			
መሣሪያ			
መሣሪያዎቻቸውን			
መሣሪያዎች			
መሣሪያዎችን			
መሥሪያ			
መረብ			
መረቦች			
መረዳት			
መረጃ			
መረጃን			
መረጃው			
መረጃዎች			
መረጃዎችን			
መረጋጋትን			
መረጠ።			
መሪነቱን			
መሪነታቸውን			
መሪነት			
መሪነትን			
መሪው			
መሪዎች			
መሪይ			
መራመድ			
መራቆት			
መራቆትንና			
መራቢያ			
መራዘሙን			
መራጮች			
መሬሳ			
መሬት			
መሬትላይ			
መሬትና			
መሬቶችን			
መርሃ			
መርሆዎች			
መርማ			
መርሰደስ			
መርሴዲስ			
መርስ			
መርስን			
መርሻ፣			
መርቀው			
መርከበኛ			
መርከበኞች			
መርከበኞችን			
መርከብ			
መርከብን			
መርከቦች			
መርዛማ			
መርዝ			
መርዳትን			
መርጃ			
መርጊያን			
መርጧል።			
መርጨት			
መርፊ			
መርፌ			
መሰል			
መሰማራታቸውን			
መሰረተ			
መሰረታዊ			
መሰረት			
መሰረትም			
መሰረት፣የአይኤንኤፍ			
መሰረዛቸውን			
መሰርተ			
መሰበሩን			
መሰብሰቢያ			
መሰብሰብ			
መሰንጠቅ፣ከፍተኛ			
መሳሪያ			
መሳሪያዎቹን			
መሳሪያዎች			
መሳሪያዎችን			
መሳሪያዎቿ			
መሳርያ			
መሳብ			
መሳተፋቸው			
መሳተፍ			
መሳፍንት			
መስህብ			
መስህቦች			
መስህቦችን			
መስመር			
መስመሮች			
መስመጥ			
መስሪያ			
መስራት			
መስራች			
መስርተዋል።			
መስርታለች			
መስርያ			
መስቀል			
መስተንግዶ			
መስተዳድር			
መስተዳድሮች፣			
መስተጓጎል			
መስኖ			
መስኖ፣			
መስከረም			
መስክ			
መስክን			
መስኮት			
መስኮች			
መስጂድ			
መስጊድ			
መስጠቱ			
መስጠቱን			
መስጠቱንና			
መስጠታቸውን			
መስጠት			
መስጠትን			
መስጫ			
መስፈርት			
መስፈርቶች			
መስፈርቶችን			
መስፋፋቱን			
መስፋፋት			
መስፋፋትን			
መስፍን			
መሸርሸርን			
መሸርሸር፣በጎርፍ፣በመሬት			
መሸሽ			
መሸጥ			
መሸፈኑን			
መሸፈን			
መሸፈኛ			
መሹለክለክ			
መሻራቸውን			
መሻሻል			
መቀሌ			
መቀመጫ			
መቀመጫውን			
መቀመጫዎች			
መቀመጫዎችን			
መቀበላቸውን			
መቀበልን			
መቀነስ			
መቀነስን			
መቀዛቀዝ			
መቀየሩን			
መቀየራቸውን			
መቀየር			
መቀጠሉን			
መቃብር			
መቃብሮች			
መቃብሮችም			
መቃብሮች፤			
መቃወሚያ			
መቄዶንያ			
መቅረጫዎችን			
መቅደስ			
መቅደስ፣			
መቅደሶች			
መቅጣትን			
መቅጫ			
መቆም			
መቆጣጠሪያ			
መቆጣጠሪያና			
መቆጣጠሪያዎች			
መቆጣጠር			
መቋለጥን			
መቋቋሙን			
መቐለ			
መበላሸትን			
መበከል			
መባባስ			
መባዛት			
መብራቶች			
መብት			
መብትም			
መብቶች			
መብቶችን			
መብዛት			
መተማመንን			
መተካት			
መተዳደሪያ			
መተግበሪያ			
መተግበሪያን			
መተግበሪያው			
መተግበሪያውን			
መተግበሪያዎችን			
መተግበር			
መተግበርን			
መታሰቢያ			
መታደጋቸው			
መታጠብ			
መታጨቱን			
መታፈን			
መትረፉ			
መትከልን			
መቶኛ			
መቶዎች			
መቷል			
መቻሉን			
መቻሏን			
መነሳሳት			
መነሳቱን			
መነሳት			
መነሳትን			
መነሻ			
መነኩሲት			
መነኮሳትን፣			
መነጋገራቸውን			
መናር			
መናርን			
መናኛ			
መናፈሻዎች			
መንስኤ			
መንሸራተት			
መንሸራተትና			
መንቀሳቀስ			
መንቀጥቀጥ			
መንቀጥቀጦ			
መንበር			
መንታ			
መንታዎች			
መንትዮች			
መንኩራኩር			
መንኮራኩር			
መንደር			
መንገስት			
መንገደኞቻችን			
መንገዱ			
መንገዱን			
መንገዳችን			
መንገድ			
መንገድና			
መንገዶች			
መንገዶችን			
መንጋ			
መንጋዎች			
መንግሥታት			
መንግሥት			
መንግሰት			
መንግስቱ			
መንግስታ			
መንግስታት			
መንግስታዊ			
መንግስት			
መንግስትን			
መንግታት			
መንፈሳዊ			
መንፈስ			
መኖሩን			
መኖሪያ			
መኖራቸው			
መኖራቸውን			
መኖር			
መኖር፣			
መአከላዊ			
መኢአድ			
መኢዴፓ			
መከላከል			
መከላከልና			
መከላከያ			
መከሰሳቸውን			
መከሰቱን			
መከሰታቸውን			
መከተል			
መከታተያ			
መከፈቱ			
መከፋፈል			
መኩሪያ			
መኪና			
መኪናዎች			
መኪኖችን			
መካላከያ			
መካሪ			
መካተት			
መካነ			
መካኒሳ			
መካከለኛ			
መካከለኛው			
መካከል			
መካከል፤			
መካከኛ			
መካድ			
መክረዋል።			
መክሯል።			
መክፈል			
መክፈቻ			
መኮንን			
መኮንኖች			
መኮንኖችን			
መወሰኑን			
መወሰን			
መወደድ			
መወገድ			
መዋሉን			
መዋቅራዊ			
መዋቅር			
መዋኛ			
መዋዕለ			
መዋዠቅ			
መውለድ			
መውሊድ			
መውረር			
መውረድ			
መውሰድ			
መውደምን			
መውደቃቸውን			
መውደቅ			
መውጫ			
መዓዛ			
መዘዞች			
መዘጋቱን			
መዘጋጀቱን			
መዘግየት			
መዛመቱ			
መዛመት			
መዛግብት			
መዝሙር			
መዝሙሮች			
መዝሙሮችን			
መዝናኛ			
መዝገበ			
መዝገብ			
መዝግባለች።			
መየዟን			
መያዙን			
መያዛቸው			
መያዝ			
መያዝን			
መደምደሚያ			
መደረጉን			
መደረጋቸውን			
መደረግዋን			
መደርደሪያዎች			
መደበኛ			
መደበ።			
መደብሮቻቸው			
መደብሮች			
መደገፍ፣			
መዲና			
